Model,MSE,MAE,MAPE,RMSE,R2
Manual ARIMA,3.805856225387481,1.5911999200479638,0.9958171316102952,1.950860380803168,-0.6294177061247574
Auto ARIMA,2.430782402982005,1.245146093073044,1.300733493319101,1.5590966624882516,-0.04070139611017809
SARIMAX,6.02203227984946,1.9136722508034159,1.3478375614139035,2.4539829420453314,-1.5782387569416216
Exponential Smoothing,3.250777451596898,1.4641837215078797,1.0267225552688757,1.802991251114907,-0.3917694270659997
