Actual,ARIMA Forecast
2.086,1.5603645371161556
1.424,1.2059821745711803
-0.372,1.041271141618605
1.615,0.9637351938758552
2.082,0.9262745410702659
0.851,0.9072454831408416
1.092,0.8967020464552223
3.22,0.890073663386274
2.7870000000000004,0.8852599041970128
-2.527,0.8812954319478462
3.755,0.8777365150849691
0.936,0.8743791142573335
2.38,0.8711293359810071
0.4539999999999999,0.8679439027710327
0.92,0.8648027976328256
2.197,0.8616966934956155
0.482,0.858621176705389
0.21099999999999997,0.855574092562205
1.4360000000000002,0.8525543255169176
0.744,0.8495612386307134
0.974,0.8465944159828752
-0.709,0.843653544291095
-2.811,0.8407383585036008
0.951,0.837848616788051
0.17900000000000002,0.8349840890290764
0.426,0.8321445515334743
2.75,0.8293297845880555
1.7119999999999997,0.8265395713284363
0.13000000000000006,0.8237736972103259
1.928,0.8210319497577474
0.7779999999999999,0.8183141184386004
2.9740000000000006,0.8156199945988098
3.1499999999999995,0.8129493714234778
4.374,0.8103020439105166
3.941,0.8076778088500904
3.6050000000000004,0.8050764648068022
0.7759999999999999,0.8024978121032132
0.978,0.7999416528040482
2.755,0.7974077907007873
-0.13099999999999998,0.794896031296506
1.771,0.7924061817909008
3.1970000000000005,0.7899380510654688
2.8309999999999995,0.7874914496688287
1.9469999999999998,0.785066189802173
2.951,0.7826620853048526
0.986,0.7802789516400841
2.069,0.7779166058807864
1.2299999999999998,0.7755748666955385
0.595,0.7732535543346605
0.6040000000000001,0.770952490616416
2.763,0.7686714989133354
3.551,0.766410404138658
-0.109,0.7641690327328923
-0.19700000000000004,0.761947212650494
3.6490000000000005,0.7597447733466598
5.841,0.7575615457642366
1.833,0.7553973623207451
3.35,0.7532520568955157
0.938,0.7511254648169374
0.908,0.7490174228498188
1.932,0.7469277691828566
1.933,0.7448563434162161
2.009,0.7428029865492197
1.5039999999999998,0.7407675409681402
3.73,0.738749850434105
-0.273,0.7367497600711012
0.081,0.7347671163540883
1.795,0.7328017670972145
-0.984,0.7308535614421339
3.0269999999999997,0.7289223498464271
4.03,0.7270079840721233
0.333,0.7251103171743197
2.399,0.723229203489905
2.599,0.7213644986263755
1.548,0.719516059450754
1.683,0.7176837440786014
-0.293,0.7158674118631269
2.451,0.7140669233843912
1.1540000000000001,0.712282140438606
1.92,0.7105129260275241
4.447,0.7087591443479246
-1.6879999999999997,0.7070206607811881
-0.7909999999999999,0.7052973418829643
4.945,0.7035890553729284
4.244,0.7018956701246271
2.587,0.7002170561554142
3.537,0.6985530846164725
3.549,0.6969036277829244
2.04,0.6952685590440268
2.247,0.6936477528934535
1.587,0.6920410849196608
3.081,0.6904484317963381
1.3299999999999998,0.6888696712729416
4.382,0.6873046821653103
3.34,0.6857533443463634
2.404,0.6842155387368812
-0.758,0.6826911472963625
4.417,0.6811800530139656
2.32,0.6796821398995259
2.9189999999999996,0.6781972929746526
0.8550000000000001,0.6767253982639035
2.175,0.6752663427860361
1.394,0.673820014545335
3.178,0.6723863025230153
4.355,0.6709650966687015
5.178,0.6695562878919795
2.04,0.6681597680540232
3.113,0.6667754299592937
0.19,0.6654031673473112
1.698,0.6640428748844985
1.004,0.6626944481560956
3.679,0.6613577836581452
1.7560000000000002,0.6600327787895476
1.3209999999999997,0.6587193318441853
2.557,0.6574173420031156
2.444,0.6561267093268327
1.396,0.6548473347475963
2.032,0.653579120061826
1.696,0.6523219679225648
-1.031,0.6510757818320067
-0.848,0.6498404661340883
3.6530000000000005,0.6486159260071479
1.872,0.6474020674566463
0.33199999999999996,0.6461987973079516
2.056,0.6450060231991882
1.044,0.6438236535741461
1.143,0.6426515976752538
1.811,0.6414897655366116
3.5190000000000006,0.6403380679770858
4.359,0.6391964165934638
2.135,0.6380647237536674
0.57,0.6369429025900274
2.685,0.6358308669926143
2.999,0.6347285316026302
2.412,0.6336358118058555
3.77,0.6325526237261544
0.321,0.6314788842190369
3.922,0.6304145108652761
2.544,0.6293594219645825
1.177,0.6283135365293325
4.237,0.6272767742783512
3.317,0.6262490556307514
2.577,0.6252303016998237
0.32700000000000007,0.6242204342869825
1.287,0.6232193758757621
3.181,0.6222270496258682
2.104,0.6212433793672782
2.143,0.6202682895943962
4.228,0.619301705460255
3.175,0.6183435527707729
1.5519999999999998,0.617393757979058
3.223,0.6164522481797624
