Actual,Auto ARIMA Forecast
2.086,1.8581364261686457
1.424,1.6756949105871615
-0.372,1.493018497503932
1.615,1.331815307034647
2.082,1.334396588439431
0.851,1.3369778698442152
1.092,1.3395591512489993
3.22,1.3421404326537834
2.7870000000000004,1.3447217140585674
-2.527,1.3473029954633515
3.755,1.3498842768681356
0.936,1.3524655582729197
2.38,1.3550468396777038
0.4539999999999999,1.3576281210824879
0.92,1.360209402487272
2.197,1.362790683892056
0.482,1.3653719652968404
0.21099999999999997,1.3679532467016244
1.4360000000000002,1.3705345281064085
0.744,1.3731158095111926
0.974,1.3756970909159767
-0.709,1.3782783723207608
-2.811,1.3808596537255449
0.951,1.383440935130329
0.17900000000000002,1.386022216535113
0.426,1.3886034979398971
2.75,1.3911847793446812
1.7119999999999997,1.3937660607494653
0.13000000000000006,1.3963473421542494
1.928,1.3989286235590337
0.7779999999999999,1.4015099049638178
2.9740000000000006,1.4040911863686019
3.1499999999999995,1.406672467773386
4.374,1.40925374917817
3.941,1.4118350305829541
3.6050000000000004,1.4144163119877382
0.7759999999999999,1.4169975933925223
0.978,1.4195788747973064
2.755,1.4221601562020905
-0.13099999999999998,1.4247414376068746
1.771,1.4273227190116586
3.1970000000000005,1.4299040004164427
2.8309999999999995,1.432485281821227
1.9469999999999998,1.4350665632260111
2.951,1.4376478446307952
0.986,1.4402291260355793
2.069,1.4428104074403634
1.2299999999999998,1.4453916888451475
0.595,1.4479729702499315
0.6040000000000001,1.4505542516547156
2.763,1.4531355330594997
3.551,1.4557168144642838
-0.109,1.458298095869068
-0.19700000000000004,1.460879377273852
3.6490000000000005,1.463460658678636
5.841,1.4660419400834204
1.833,1.4686232214882045
3.35,1.4712045028929885
0.938,1.4737857842977726
0.908,1.4763670657025567
1.932,1.4789483471073408
1.933,1.4815296285121249
2.009,1.484110909916909
1.5039999999999998,1.486692191321693
3.73,1.4892734727264771
-0.273,1.4918547541312612
0.081,1.4944360355360453
1.795,1.4970173169408294
-0.984,1.4995985983456137
3.0269999999999997,1.5021798797503978
4.03,1.5047611611551819
0.333,1.507342442559966
2.399,1.50992372396475
2.599,1.5125050053695341
1.548,1.5150862867743182
1.683,1.5176675681791023
-0.293,1.5202488495838864
2.451,1.5228301309886705
1.1540000000000001,1.5254114123934546
1.92,1.5279926937982387
4.447,1.5305739752030227
-1.6879999999999997,1.533155256607807
-0.7909999999999999,1.5357365380125911
4.945,1.5383178194173752
4.244,1.5408991008221593
2.587,1.5434803822269434
3.537,1.5460616636317275
3.549,1.5486429450365116
2.04,1.5512242264412957
2.247,1.5538055078460797
1.587,1.5563867892508638
3.081,1.558968070655648
1.3299999999999998,1.561549352060432
4.382,1.564130633465216
3.34,1.5667119148700004
2.404,1.5692931962747845
-0.758,1.5718744776795686
4.417,1.5744557590843526
2.32,1.5770370404891367
2.9189999999999996,1.5796183218939208
0.8550000000000001,1.582199603298705
2.175,1.584780884703489
1.394,1.587362166108273
3.178,1.5899434475130572
4.355,1.5925247289178412
5.178,1.5951060103226253
2.04,1.5976872917274094
3.113,1.6002685731321937
0.19,1.6028498545369778
1.698,1.605431135941762
1.004,1.608012417346546
3.679,1.61059369875133
1.7560000000000002,1.6131749801561142
1.3209999999999997,1.6157562615608982
2.557,1.6183375429656823
2.444,1.6209188243704664
1.396,1.6235001057752505
2.032,1.6260813871800346
1.696,1.6286626685848187
-1.031,1.6312439499896028
-0.848,1.633825231394387
3.6530000000000005,1.6364065127991712
1.872,1.6389877942039552
0.33199999999999996,1.6415690756087393
2.056,1.6441503570135234
1.044,1.6467316384183075
1.143,1.6493129198230916
1.811,1.6518942012278757
3.5190000000000006,1.6544754826326598
4.359,1.6570567640374438
2.135,1.659638045442228
0.57,1.662219326847012
2.685,1.664800608251796
2.999,1.6673818896565804
2.412,1.6699631710613645
3.77,1.6725444524661486
0.321,1.6751257338709327
3.922,1.6777070152757168
2.544,1.6802882966805008
1.177,1.682869578085285
4.237,1.685450859490069
3.317,1.688032140894853
2.577,1.6906134222996372
0.32700000000000007,1.6931947037044213
1.287,1.6957759851092054
3.181,1.6983572665139894
2.104,1.7009385479187737
2.143,1.7035198293235578
4.228,1.706101110728342
3.175,1.708682392133126
1.5519999999999998,1.71126367353791
3.223,1.7138449549426942
