Metric,SimpleRNN,LSTM
Mean Squared Error (MSE),1996358830.2536173,2765609341.3779144
Root Mean Squared Error (RMSE),44680.63148897537,52589.06104293853
Mean Absolute Percentage Error (MAPE),0.04390884675472313,0.05011242861830047
Mean Absolute Error (MAE),40867.348275000026,46777.129525000026
R-squared (R2),-0.9805179753750697,-1.7436645809652997
