Model,MSE,MAE,MAPE,RMSE
Manual ARIMA,250101440.4280968,12750.249220859738,0.08822710487954183,15814.595803500537
Auto ARIMA,6645117389.397912,64828.1560614114,0.4567997581478471,81517.58944790941
Exponential Smoothing (ES),8859196344.134657,75197.4783544103,0.52921878880957,94123.30393762565
